ds,yhat,yhat_lower,yhat_upper
2022-01-01,202.6283586572025,189.95653554375124,215.01194362032913
2022-01-02,202.501059081573,190.18406893679776,214.62068569211442
2022-01-03,200.90747672469095,189.35315350403877,213.47849790691953
2022-01-04,202.99693202772997,191.29397868283354,215.41209915377902
2022-01-05,201.40668010981986,189.1851173809561,214.04253381546027
2022-01-06,202.7072091207065,190.689652887458,215.09023297175688
2022-01-07,203.74649242205106,191.30968995427352,215.649839623501
2022-01-08,203.55550918168754,191.19788052597815,216.2480670334094
2022-01-09,203.252218983588,192.12102946030052,215.04561155267047
2022-01-10,201.51970873669896,189.6673592240737,213.78645598100942
2022-01-11,203.50942430022957,191.30196292395485,215.10985223260369
2022-01-12,201.85981094597471,188.40803836824648,214.8619309320431
2022-01-13,203.14160125979788,190.21450201836794,215.3428068449431
2022-01-14,204.20208018630044,191.26482334950896,216.51061624458677
2022-01-15,204.0706411255342,191.71396483984364,216.26695494389645
2022-01-16,203.86281743088298,190.418279098438,216.82540168669382
2022-01-17,202.25850579843583,190.47480974421597,214.45369068463768
2022-01-18,204.40529168807174,192.43028436652833,216.37279415323295
2022-01-19,202.93719820082472,190.11511698691746,215.02553386288562
2022-01-20,204.4200939771591,192.04174427073391,216.37991108758706
2022-01-21,205.69608652659224,193.10996890322656,217.92297409910063
2022-01-22,205.78921143928653,193.45904877723535,217.318264746424
2022-01-23,205.80959830027206,193.61453525036706,218.24453134209782
2022-01-24,204.4318262941386,191.71107540646574,216.86937157215974
2022-01-25,206.79837625683282,195.27825122535768,219.91306547698903
2022-01-26,205.53849742440423,192.46618138407425,217.92926655308966
2022-01-27,207.2137215597632,195.6187380291474,219.4143516902008
2022-01-28,208.66234834878026,196.21516829691586,221.30759728453108
2022-01-29,208.90521042459218,197.72105532994917,221.65169092579154
2022-01-30,209.049897226009,195.95470605443907,220.27818313724168
2022-01-31,207.76914957673944,195.71049593648232,219.93646528330592
2022-02-01,210.20433117568533,197.5889561773098,222.49828980932705
2022-02-02,208.98429522342855,196.04706784077737,221.20347984906263
2022-02-03,210.6708793742099,197.86090328306148,223.7031736941987
2022-02-04,212.10335392264096,200.10137278279785,224.38913551309895
2022-02-05,212.30413307485588,200.74050282563698,224.39724884446446
2022-02-06,212.3829304080244,200.52583394471307,225.0512708091974
2022-02-07,211.01507276137198,198.43173939799985,224.38609050534964
2022-02-08,213.34488115813716,200.69996261017667,225.29964592898187
2022-02-09,212.00443992832922,199.63703130827426,224.32651264256666
2022-02-10,213.55899006005433,201.90291899112998,226.21600074639383
2022-02-11,214.8512746723019,202.8729957878304,227.15800365043276
2022-02-12,214.90714939143433,201.89531792720618,226.93221260273293
2022-02-13,214.83964156625808,202.43902522128633,226.44657612442788
2022-02-14,213.32717510471394,201.45797713874776,226.03670899282767
2022-02-15,215.5168720456937,202.17499995088343,227.74091464811661
2022-02-16,214.04325390166525,201.0546791802274,226.96897684116342
2022-02-17,215.47358052553454,203.91659478381342,228.4287389631133
2022-02-18,216.65215560440427,203.73243436744906,228.80362817276432
2022-02-19,216.60591233990112,204.3485829550561,229.77488316537708
2022-02-20,216.44846356586035,202.9482000457219,228.82628653612468
2022-02-21,214.85833293899165,202.66127243680248,227.67344972745167
2022-02-22,216.9822777184847,204.03770439551823,229.46036024232993
2022-02-23,215.45402514791408,203.23465879887664,227.805756263162
2022-02-24,216.83965878267998,203.62052762604822,230.04261305064497
2022-02-25,217.9819821159354,205.83652881631215,231.2594787769856
2022-02-26,217.906171030557,205.77608542710578,229.87723299491807
2022-02-27,217.7238970773731,205.5736883870736,229.2964952146707
2022-02-28,216.11163581682797,203.8407632126325,228.9805675912873
2022-03-01,218.21406826657133,205.44595861202893,231.10233254967818
2022-03-02,216.66289499361844,204.86277271953028,229.32130323212075
2022-03-03,218.0222967928924,206.78495435251824,230.29907494950098
2022-03-04,219.13336704557705,207.01025701661192,231.50575699839163
2022-03-05,219.01982523309687,206.62173874096115,232.13657257441582
2022-03-06,218.79219182060558,206.58415088402722,231.13138383446577
2022-03-07,217.1261372753245,204.5852378906759,228.6520662154918
2022-03-08,219.16591214448198,206.43060167145686,231.2031231772628
2022-03-09,217.54317699605735,204.31330019905604,230.4554949191647
2022-03-10,218.82246582769835,206.95494449520243,230.7725601361292
2022-03-11,219.8456081045996,207.91923061512705,232.33680294524035
2022-03-12,219.63741936562514,207.21126786636927,232.20655503045447
2022-03-13,219.30984146318832,208.0968582237982,231.40046695842204
2022-03-14,217.54024633836585,205.82506474054208,228.80288307451536
